benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance,init,run,final,start,afterstart
hpccrandomringbw,2,16,1,1,2022-05-10 08:13:34+00:00,2022-05-10 08:13:38+00:00,2022-05-10 08:22:48+00:00,2022-05-10 08:22:48+00:00,0 days 00:09:56.949695336,1.79021,0 days 00:00:04,0 days 00:09:10,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:00:00
hpccdgemm,1,16,1,1,2022-05-10 08:14:16+00:00,2022-05-10 08:14:20+00:00,2022-05-10 08:41:24+00:00,2022-05-10 08:41:25+00:00,0 days 00:27:45.010327493,23.9266,0 days 00:00:04,0 days 00:27:04,0 days 00:00:01,2022-05-10 08:13:34+00:00,0 days 00:00:42
hpccstream,0,16,1,1,2022-05-10 08:16:08+00:00,2022-05-10 08:16:12+00:00,2022-05-10 08:21:34+00:00,2022-05-10 08:21:34+00:00,0 days 00:06:02.985398232,4.819,0 days 00:00:04,0 days 00:05:22,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:02:34
minife,3,16,1,1,2022-05-10 08:16:49+00:00,2022-05-10 08:16:54+00:00,2022-05-10 08:34:25+00:00,2022-05-10 08:34:25+00:00,0 days 00:18:11.964739435,9299.31,0 days 00:00:05,0 days 00:17:31,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:03:15
hpccfft,1,16,1,1,2022-05-10 08:17:49+00:00,2022-05-10 08:17:53+00:00,2022-05-10 08:21:01+00:00,2022-05-10 08:21:01+00:00,0 days 00:03:51.962470690,13.8269,0 days 00:00:04,0 days 00:03:08,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:04:15
minife,2,16,1,1,2022-05-10 08:18:06+00:00,2022-05-10 08:18:12+00:00,2022-05-10 08:37:14+00:00,2022-05-10 08:37:14+00:00,0 days 00:19:44.984124970,8446.99,0 days 00:00:06,0 days 00:19:02,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:04:32
hpccstream,3,16,1,1,2022-05-10 08:20:00+00:00,2022-05-10 08:20:03+00:00,2022-05-10 08:25:49+00:00,2022-05-10 08:25:49+00:00,0 days 00:06:30.999256017,4.31974,0 days 00:00:03,0 days 00:05:46,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:06:26
hpccrandomringbw,0,16,1,1,2022-05-10 08:21:27+00:00,2022-05-10 08:21:31+00:00,2022-05-10 08:35:06+00:00,2022-05-10 08:35:06+00:00,0 days 00:14:13.984590574,1.23587,0 days 00:00:04,0 days 00:13:35,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:07:53
hpccfft,0,16,1,1,2022-05-10 08:21:53+00:00,2022-05-10 08:22:01+00:00,2022-05-10 08:26:21+00:00,2022-05-10 08:26:21+00:00,0 days 00:05:00.174589343,8.57726,0 days 00:00:08,0 days 00:04:20,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:08:19
hpccdgemm,2,16,1,1,2022-05-10 08:22:48+00:00,2022-05-10 08:22:54+00:00,2022-05-10 08:56:10+00:00,2022-05-10 08:56:10+00:00,0 days 00:34:02.977052261,19.7337,0 days 00:00:06,0 days 00:33:16,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:09:14
hpccstream,2,16,1,1,2022-05-10 08:23:19+00:00,2022-05-10 08:23:33+00:00,2022-05-10 08:29:36+00:00,2022-05-10 08:29:36+00:00,0 days 00:06:51.966748785,3.5526,0 days 00:00:14,0 days 00:06:03,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:09:45
hpccrandomringbw,3,16,1,1,2022-05-10 08:23:48+00:00,2022-05-10 08:26:56+00:00,2022-05-10 08:40:38+00:00,2022-05-10 08:40:38+00:00,0 days 00:17:32.950444323,1.18835,0 days 00:03:08,0 days 00:13:42,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:10:14
hpccdgemm,3,16,1,1,2022-05-10 08:24:27+00:00,2022-05-10 08:26:33+00:00,2022-05-10 08:55:17+00:00,2022-05-10 08:55:17+00:00,0 days 00:31:33.998029612,22.5092,0 days 00:02:06,0 days 00:28:44,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:10:53
hpccfft,3,16,1,1,2022-05-10 08:25:00+00:00,2022-05-10 08:30:12+00:00,2022-05-10 08:34:23+00:00,2022-05-10 08:34:23+00:00,0 days 00:10:00.944024044,9.22241,0 days 00:05:12,0 days 00:04:11,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:11:26
minife,0,16,1,1,2022-05-10 08:25:24+00:00,2022-05-10 08:35:03+00:00,2022-05-10 08:53:24+00:00,2022-05-10 08:53:24+00:00,0 days 00:28:36.969996454,8805.74,0 days 00:09:39,0 days 00:18:21,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:11:50
hpccrandomringbw,1,16,1,1,2022-05-10 08:26:03+00:00,2022-05-10 08:35:03+00:00,2022-05-10 08:47:40+00:00,2022-05-10 08:47:40+00:00,0 days 00:22:17.952155779,1.5523,0 days 00:09:00,0 days 00:12:37,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:12:29
minife,1,16,1,1,2022-05-10 08:27:07+00:00,2022-05-10 08:35:43+00:00,2022-05-10 08:51:32+00:00,2022-05-10 08:51:32+00:00,0 days 00:25:04.950541032,10286.8,0 days 00:08:36,0 days 00:15:49,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:13:33
hpccstream,1,16,1,1,2022-05-10 08:27:50+00:00,2022-05-10 08:37:53+00:00,2022-05-10 08:45:01+00:00,2022-05-10 08:45:01+00:00,0 days 00:17:43.656795593,2.99206,0 days 00:10:03,0 days 00:07:08,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:14:16
hpccdgemm,0,16,1,1,2022-05-10 08:28:33+00:00,2022-05-10 08:41:23+00:00,2022-05-10 09:10:11+00:00,2022-05-10 09:10:12+00:00,0 days 00:42:10.576972904,21.857,0 days 00:12:50,0 days 00:28:48,0 days 00:00:01,2022-05-10 08:13:34+00:00,0 days 00:14:59
hpccfft,2,16,1,1,2022-05-10 08:33:04+00:00,2022-05-10 08:42:03+00:00,2022-05-10 08:45:47+00:00,2022-05-10 08:45:47+00:00,0 days 00:13:15.455092928,11.1179,0 days 00:08:59,0 days 00:03:44,0 days 00:00:00,2022-05-10 08:13:34+00:00,0 days 00:19:30
