benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance,init,run,final,start,afterstart
hpccrandomringbw,2,16,4,16,2022-05-24 07:36:27+00:00,2022-05-24 07:36:35+00:00,2022-05-25 17:39:04+00:00,2022-05-25 17:39:05+00:00,1 days 10:03:19.786570241,0.00802813,0 days 00:00:08,1 days 10:02:29,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:00:00
hpccdgemm,1,16,4,16,2022-05-24 07:37:09+00:00,2022-05-24 07:37:18+00:00,2022-05-24 07:53:37+00:00,2022-05-24 07:53:37+00:00,0 days 00:17:09.215707612,37.5445,0 days 00:00:09,0 days 00:16:19,0 days 00:00:00,2022-05-24 07:36:27+00:00,0 days 00:00:42
hpccstream,0,16,4,16,2022-05-24 07:39:02+00:00,2022-05-24 07:39:11+00:00,2022-05-24 07:43:40+00:00,2022-05-24 07:43:41+00:00,0 days 00:05:15.795903139,6.57858,0 days 00:00:09,0 days 00:04:29,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:02:35
minife,3,16,4,16,2022-05-24 07:39:43+00:00,2022-05-24 07:39:53+00:00,2022-05-24 08:02:59+00:00,2022-05-24 08:03:00+00:00,0 days 00:23:55.275061968,6905.34,0 days 00:00:10,0 days 00:23:06,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:03:16
hpccfft,1,16,4,16,2022-05-24 07:40:43+00:00,2022-05-24 07:40:54+00:00,2022-05-24 09:05:06+00:00,2022-05-24 09:05:07+00:00,0 days 01:25:05.731036152,0.355527,0 days 00:00:11,0 days 01:24:12,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:04:16
minife,2,16,4,16,2022-05-24 07:41:01+00:00,2022-05-24 07:41:11+00:00,2022-05-24 07:59:35+00:00,2022-05-24 07:59:36+00:00,0 days 00:19:16.404508415,8851.38,0 days 00:00:10,0 days 00:18:24,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:04:34
hpccstream,3,16,4,16,2022-05-24 07:42:54+00:00,2022-05-24 07:43:07+00:00,2022-05-24 07:48:12+00:00,2022-05-24 07:48:13+00:00,0 days 00:06:04.220224293,6.20486,0 days 00:00:13,0 days 00:05:05,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:06:27
hpccrandomringbw,0,16,4,16,2022-05-24 07:44:22+00:00,2022-05-24 07:44:32+00:00,2022-05-25 17:21:07+00:00,2022-05-25 17:21:08+00:00,1 days 09:37:25.359273539,0.00817879,0 days 00:00:10,1 days 09:36:35,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:07:55
hpccfft,0,16,4,16,2022-05-24 07:44:48+00:00,2022-05-24 07:45:00+00:00,2022-05-24 09:17:03+00:00,2022-05-24 09:17:04+00:00,0 days 01:32:59.374713962,0.299867,0 days 00:00:12,0 days 01:32:03,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:08:21
hpccdgemm,2,16,4,16,2022-05-24 07:45:44+00:00,2022-05-24 07:49:06+00:00,2022-05-24 08:05:23+00:00,2022-05-24 08:05:24+00:00,0 days 00:20:24.628664438,37.9333,0 days 00:03:22,0 days 00:16:17,0 days 00:00:01,2022-05-24 07:36:27+00:00,0 days 00:09:17
