benchmark,nTasks,nNodes,nWorkers,model_time_mean,model_time_std,scenario
hpccrandomringbw,16,4,16,0.0080760975,6.004023624828601e-05,volcano
hpccdgemm,16,4,16,37.947649999999996,0.2509038511063544,volcano
hpccstream,16,4,16,7.891085,1.5991758922254304,volcano
minife,16,4,16,8330.8375,855.7902601214562,volcano
hpccfft,16,4,16,0.3115305,0.03282713518188878,volcano
hpccrandomringbw,1,1,1,1.88004,0.007285585082887969,kubeflow
hpccdgemm,1,1,1,30.6732,0.6725793001572388,kubeflow
hpccstream,1,1,1,2.7615074999999996,0.006768767890096381,kubeflow
minife,1,1,1,8546.605,26.69290308302947,kubeflow
hpccfft,1,1,1,9.7269725,0.6097136088105222,kubeflow
