benchmark,nTasks,nNodes,nWorkers,init_mean,init_std,run_mean,run_std,final_mean,final_std,duration_mean,duration_std,scenario
hpccrandomringbw,16,4,16,617.25,696.0242003694987,121300.00000000001,742.671192385971,0.75,0.4330127018922193,121960.88698063852,592.8347565941921,volcano
hpccdgemm,16,4,16,1123.5,1401.8203344223539,974.7500000000001,5.673402858955108,1.25,0.82915619758885,2143.04777461225,1403.6776820681969,volcano
hpccstream,16,4,16,943.5,1351.259690067013,259.5,30.37680035816806,1.25,0.4330127018922193,1245.6887229905,1335.4006930630849,volcano
minife,16,4,16,819.0,897.9317902825359,1178.75,123.4207741832792,1.5,0.5,2040.60122779425,832.8211391515293,volcano
hpccfft,16,4,16,1291.5,1718.438608155671,5427.25,427.1535877175796,0.75,0.4330127018922193,6761.98984068625,1627.5528890407597,volcano
hpccrandomringbw,1,1,1,151.0,254.0442874775971,323.75,186.9256202343595,0.0,0.0,583.5,254.9220469084618,kubeflow
hpccdgemm,1,1,1,170.5,178.42855713141884,1192.0,15.953056133543816,0.0,0.0,1362.5,178.03440678700284,kubeflow
hpccstream,1,1,1,106.0,167.08530755275882,443.5,6.837397165588672,0.0,0.0,549.5,168.8823555022845,kubeflow
minife,1,1,1,161.25,216.66722756337654,1128.5,3.774917217635375,0.0,0.0,1289.75,218.53989910311572,kubeflow
hpccfft,1,1,1,116.75,114.39050441360945,236.75000000000003,2.947456530637899,0.0,0.0,353.5,113.81673866351996,kubeflow
